Date Updated,StateAbbr,Update Time,Source,Update Time (Et),Last Check,Checker,DC,Daily Count,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown Race,% Unk. Race,Known Hispanic,Known Non-Hispanic,Unknown Ethnicity,% Unk. Eth
20200426,AK,4/26/20 10:00,,4/26/20 14:00,4/26/20 22:31,AM,BL,341,190,7,,41,18,6,0,9,70,21%,25,232,,0%
20200426,AL,4/26/20 0:00,,4/26/20 0:00,4/26/20 22:40,AM,BL,6421,2947,2411,,50,,,,163,846,13%,340,4883,1196,19%
20200426,AR,4/26/20 10:00,,4/26/20 11:00,4/26/20 23:19,AM,BL,2941,1340,808,107,27,,,12,78,645,21%,,,,
20200426,AS,,,,,,,,,,,,,,,,,,,,,
20200426,AZ,4/26/20 0:00,,4/26/20 0:00,4/26/20 23:07,AM,BL,6526,1954,223,1119,83,844,,,115,2188,34%,1119,3219,2188,34%
20200426,CA,4/25/20 0:00,,4/25/20 0:00,4/26/20 23:09,ESK,AM,42164,7739,1839,12092,3438,58,58,225,1824,14590,35%,12092,15482,14590,35%
20200426,CO,4/26/20 0:00,,4/26/20 0:00,4/26/20 23:23,ESK,AM,13441,6973,1010,,360,65,72,209,125,4,0%,4623,8814,4,0%
20200426,CT,4/26/20 12:00,,4/26/20 12:00,4/26/20 23:10,MEB,AM,22469,7759,2819,3699,350,,,,179,10463,41%,3699,11107,10463,41%
20200426,DC,4/25/20 0:00,,4/25/20 0:00,4/26/20 23:08,MEB,AM,3841,665,1891,,63,11,11,652,,527,14%,708,2320,813,21%
20200426,DE,4/25/20 0:00,,4/25/20 0:00,4/26/20 22:56,MEB,AM,4034,1003,1106,714,0,,,187,,974,24%,714,2346,974,24%
20200426,FL,4/26/20 21:27,,4/26/20 21:27,4/26/20 22:40,MEB,AM,30680,15111,5228,,,,,,2535,7806,25%,8676,13274,8730,28%
20200426,GA,4/26/20 18:27,,4/26/20 18:27,4/26/20 22:36,AM,NW,23481,6280,8181,,308,23,4,4,941,7744,33%,1700,11570,10211,43%
20200426,GU,,,,,,,,,,,,,,,,,,,,,
20200426,HI,4/26/20 12:00,,4/26/20 18:00,4/26/20 22:29,BL,AM,601,156,5,,162,,59,140,10,60,10%,,,,
20200426,IA,4/25/20 10:00,,4/25/20 12:00,4/26/20 22:37,BL,AM,5475,3191,717,,432,,,,87,1040,19%,1242,3356,876,16%
20200426,ID,4/26/20 17:00,,4/26/20 19:00,4/26/20 22:43,BL,AM,58,41,1,,,,2,,,14,24%,2,44,10,18%
20200426,IL,4/26/20 0:00,,4/26/20 0:00,4/26/20 22:48,BL,AM,43903,10427,9918,8743,1523,65,52,,1834,11341,26%,8743,23819,11341,26%
20200426,IN,4/25/20 23:59,,4/25/20 23:59,4/26/20 22:59,BL,AM,15012,7010,2356,1125,165,,,,2056,4356,26%,1125,5734,,0%
20200426,KS,4/26/20 10:00,,4/26/20 11:00,4/26/20 23:08,BL,AM,3174,1986,386,,78,12,,,91,621,20%,1038,1555,581,18%
20200426,KY,4/26/20 0:00,,4/26/20 0:00,4/26/20 23:21,BL,AM,4074,2407,431,,1,2,1,2,,1230,30%,257,2805,1012,25%
20200426,LA,4/20/20 0:00,,4/20/20 0:00,4/26/20 23:31,BL,NW,,,,,,,,,,,,,,,
20200426,MA,4/26/20 16:00,,4/26/20 16:00,4/26/20 22:32,AFG,NW,54938,11646,3735,5933,769,,,,1812,31043,57%,5933,17962,31043,57%
20200426,MD,4/26/20 10:00,,4/26/20 10:00,4/26/20 23:15,AFG,NW,18581,4276,6742,2841,363,,,,707,3652,20%,2841,12088,3652,20%
20200426,ME,,,,,,,,,,,,,,,,,,,,,
20200426,MI,4/26/20 10:00,,4/26/20 11:00,4/26/20 23:28,AFG,NW,37585,12088,12088,1133,755,188,,2644,1511,8311,21%,1133,21911,14733,39%
20200426,MN,4/26/20 11:00,,4/26/20 12:00,4/26/20 23:36,AFG,NW,3655,1909,504,396,144,36,18,,324,720,18%,396,2377,792,22%
20200426,MO,4/26/20 14:00,,4/26/20 15:00,4/26/20 23:42,AFG,NW,6994,2798,2099,,,,,209,139,1749,25%,349,4268,2378,34%
20200426,MP,,,,,,,,,,,,,,,,,,,,,
20200426,MS,4/25/20 18:00,,4/25/20 19:00,4/26/20 23:48,AFG,NW,5911,1984,3095,,,,,,566,266,5%,,,,
20200426,MT,4/26/20 10:58,,4/26/20 12:58,4/27/20 0:29,AFG,NW,448,389,2,,1,21,,,2,33,7%,8,409,31,7%
20200426,NC,4/20/20 0:00,,4/26/20 11:00,4/26/20 23:57,NW,AM,8830,3485,2575,,114,41,15,,366,2234,25%,827,4950,3053,35%
20200426,ND,,,,,,,,,,,,,,,,,,,,,
20200426,NE,,,,,,,,,,,,,,,,,,,,,
20200426,NH,4/26/20 9:00,,4/26/20 9:00,4/27/20 0:12,NW,PR,1447,937,63,70,37,,,,51,289,20%,,,,
20200426,NJ,4/26/20 13:00,,4/26/20 13:00,4/27/20 0:32,NW,PR,,,,,,,,,,,,,,,
20200426,NM,4/26/20 15:01,,4/26/20 17:01,4/27/20 0:20,NW,PR,2704,502,64,595,38,1288,,,,217,8%,595,1892,217,8%
20200426,NV,,,,,,,,,,,,,,,,,,,,,
20200426,NY,4/26/20 14:00,,4/26/20 14:00,4/27/20 0:37,SR,PR,,,,,,,,,,,,,,,
20200426,OH,4/26/20 14:00,,4/26/20 14:00,4/26/20 23:40,SR,AM,15963,7976,3716,,216,11,10,972,1278,1784,11%,512,10066,5385,34%
20200426,OK,4/26/20 0:00,,4/26/20 0:00,4/26/20 22:35,SR,AM,3253,2295,195,,66,241,,112,,344,,,,,
