Date Updated,StateAbbr,Update Time,Source,Update Time (Et),Last Check,Checker,DC,Daily Count,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown Race,% Unk. Race,Known Hispanic,Known Non-Hispanic,Unknown Ethnicity,% Unk. Eth
20200426,AK,4/26/20 10:00,,4/26/20 14:00,4/26/20 22:31,AM,BL,9,4,0,,2,2,1,0,0,0,0%,0,9,0,0.00%
20200426,AL,4/26/20 0:00,,4/26/20 0:00,4/26/20 22:40,AM,BL,219,113,98,,3,,,,1,3,1%,6,197,15,6.88%
20200426,AR,4/26/20 10:00,,4/26/20 11:00,4/26/20 23:19,AM,BL,49,29,16,,,,0,,0,4,8%,,,,
20200426,AS,,,,,,,,,,,,,,,,,,,,,
20200426,AZ,4/26/20 0:00,,4/26/20 0:00,4/26/20 23:07,AM,BL,275,134,9,37,4,55,,,3,33,12%,37,205,33,12.00%
20200426,CA,4/25/20 0:00,,4/25/20 0:00,4/26/20 23:09,ESK,AM,1647,536,170,502,266,7,17,4,40,105,6%,502,1040,105,6.38%
20200426,CO,4/26/20 0:00,,4/26/20 0:00,4/26/20 23:23,ESK,AM,680,477,44,,21,1,5,8,1,3,1%,120,557,3,0.44%
20200426,CT,4/26/20 12:00,,4/26/20 12:00,4/26/20 23:10,MEB,AM,1544,1370,294,173,17,,,,20,50,3%,173,1701,50,2.60%
20200426,DC,4/25/20 0:00,,4/25/20 0:00,4/26/20 23:08,MEB,AM,178,20,142,11,4,,,,1,0,0%,11,167,0,0.00%
20200426,DE,4/25/20 0:00,,4/25/20 0:00,4/26/20 22:56,MEB,AM,120,69,29,5,0,,,3,,14,12%,5,115,,0.00%
20200426,FL,4/26/20 21:27,,4/26/20 21:27,4/26/20 22:40,MEB,AM,,,,,,,,,,,,,,,
20200426,GA,4/26/20 18:27,,4/26/20 18:27,4/26/20 22:36,AM,NW,916,383,478,,14,1,1,0,11,29,3%,32,839,45,4.91%
20200426,GU,,,,,,,,,,,,,,,,,,,,,
20200426,HI,4/26/20 12:00,,4/26/20 18:00,4/26/20 22:29,BL,AM,,,,,,,,,,,,,,,
20200426,IA,4/25/20 10:00,,4/25/20 12:00,4/26/20 22:37,BL,AM,,,,,,,,,,,,,,,
20200426,ID,4/26/20 17:00,,4/26/20 19:00,4/26/20 22:43,BL,AM,,,,,,,,,,,,,,,
20200426,IL,4/26/20 0:00,,4/26/20 0:00,4/26/20 22:48,BL,AM,1933,794,712,245,76,2,2,,19,19,1%,245,1605,83,4.29%
20200426,IN,4/25/20 23:59,,4/25/20 23:59,4/26/20 22:59,BL,AM,813,,,,,,,,,,,,,,
20200426,KS,4/26/20 10:00,,4/26/20 11:00,4/26/20 23:08,BL,AM,118,71,35,,0,1,,,0,11,9%,3,97,18,15.25%
20200426,KY,4/26/20 0:00,,4/26/20 0:00,4/26/20 23:21,BL,AM,207,143,29,,3,,,,,32,15%,2,167,39,18.75%
20200426,LA,4/20/20 0:00,,4/20/20 0:00,4/26/20 23:31,BL,NW,1473,505,828,20,12,0,1,,10,115,8%,20,1103,349,23.71%
20200426,MA,4/26/20 16:00,,4/26/20 16:00,4/26/20 22:32,AFG,NW,2899,965,144,162,57,,,,72,1499,52%,162,1238,1499,51.71%
20200426,MD,4/26/20 10:00,,4/26/20 10:00,4/26/20 23:15,AFG,NW,827,301,305,46,30,,,,11,134,16%,46,647,134,16.20%
20200426,ME,,,,,,,,,,,,,,,,,,,,,
20200426,MI,4/26/20 10:00,,4/26/20 11:00,4/26/20 23:28,AFG,NW,3329,1458,1359,33,33,16,,66,66,331,10%,33,2453,828,24.98%
