STATE.,Ratio,Race,Condition,State.Name
AL,1.192461883,White,Senior,ALABAMA
AL,0.703794696,Black,Senior,ALABAMA
AL,0.245275205,Hispanic,Senior,ALABAMA
AL,0.537807261,Asian,Senior,ALABAMA
AL,0.850707857,American Indian or Alaska Native,Senior,ALABAMA
AL,0.560473648,Native Hawaian or Pacific Islander,Senior,ALABAMA
AL,1.05105118,White,Asthma,ALABAMA
AL,0.922599503,Black,Asthma,ALABAMA
AL,0.448388947,Hispanic,Asthma,ALABAMA
AL,1.281643496,Asian,Asthma,ALABAMA
AL,NA,Native Hawaian or Pacific Islander,Asthma,ALABAMA
AL,5.314667365,American Indian or Alaska Native,Asthma,ALABAMA
AL,1.092008238,White,COPD,ALABAMA
AL,0.830997584,Black,COPD,ALABAMA
AL,0.410500095,Hispanic,COPD,ALABAMA
AL,0.431421189,Asian,COPD,ALABAMA
AL,NA,Native Hawaian or Pacific Islander,COPD,ALABAMA
AL,5.397685497,American Indian or Alaska Native,COPD,ALABAMA
AL,0.991147906,White,Diabetes,ALABAMA
AL,1.165407541,Black,Diabetes,ALABAMA
AL,0.172047383,Hispanic,Diabetes,ALABAMA
AL,1.264654143,Asian,Diabetes,ALABAMA
AL,NA,Native Hawaian or Pacific Islander,Diabetes,ALABAMA
AL,3.786845573,American Indian or Alaska Native,Diabetes,ALABAMA
AL,1.001205979,White,Kidney Disease,ALABAMA
AL,0.939653806,Black,Kidney Disease,ALABAMA
AL,1.063382293,Hispanic,Kidney Disease,ALABAMA
AL,NA,Asian,Kidney Disease,ALABAMA
AL,7.822568451,American Indian or Alaska Native,Kidney Disease,ALABAMA
AL,NA,Native Hawaian or Pacific Islander,Kidney Disease,ALABAMA
AL,0.980488314,White,Obesity,ALABAMA
AL,1.147650001,Black,Obesity,ALABAMA
AL,0.642564976,Hispanic,Obesity,ALABAMA
AL,0.882263623,Asian,Obesity,ALABAMA
AL,1.837821007,American Indian or Alaska Native,Obesity,ALABAMA
AL,0.009826655,Native Hawaian or Pacific Islander,Obesity,ALABAMA
AL,1.04279168,White,Smoking,ALABAMA
AL,0.920725957,Black,Smoking,ALABAMA
AL,0.411702264,Hispanic,Smoking,ALABAMA
AL,1.575729936,Asian,Smoking,ALABAMA
