Date Updated,StateAbbr,Update Time,Source,Update Time (Et),Last Check,Checker,DC,Daily Count,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown Race,% Unk. Race,Known Hispanic,Known Non-Hispanic,Unknown Ethnicity,% Unk. Eth
20200429,AK,,,4/29/20 14:00,4/29/20 22:45,SPA,AM,355,206,7,,43,19,8,10,9,53,15%,25,232,,0%
20200429,AL,,,4/29/20 0:00,4/29/20 23:04,SPA,AM,6925,3186,2646,,52,,,,196,843,12%,378,5310,1236,18%
20200429,AR,,,4/29/20 11:00,4/29/20 23:27,SPA,AM,3192,1591,1026,125,40,,,13,77,406,12%,,,,
20200429,AS,,,,,,,,,,,,,,,,,,,,,
20200429,AZ,,,4/29/20 0:00,4/29/20 23:32,SPA,AM,7202,2046,240,1207,91,931,,,120,2567,36%,1207,3428,2567,36%
20200429,CA,,,4/28/20 0:00,4/29/20 23:29,BL,AM,46500,8339,1977,13608,3721,71,71,249,2033,16117,35%,13608,16775,16117,35%
20200429,CO,,,4/29/20 0:00,4/29/20 23:21,BL,AM,14758,7460,1131,,395,78,78,203,134,4,0%,5275,9479,4,0%
20200429,CT,,,4/29/20 12:00,4/29/20 23:07,BL,AM,26767,8504,3105,4108,390,,,,198,10462,39%,4108,12197,10462,39%
20200429,DC,,,4/28/20 0:00,4/29/20 22:59,BL,AM,4106,703,2037,,64,11,11,770,,513,12%,797,2490,819,20%
20200429,DE,,,4/28/20 0:00,4/29/20 22:49,BL,AFG,4655,1184,1292,936,1,,,237,,943,21%,936,2776,943,20%
20200429,FL,,,4/29/20 9:51,4/30/20 0:08,BL,ESK,32318,16146,5745,,,,,,2678,7749,24%,9325,14305,8688,27%
20200429,GA,,,4/29/20 21:25,4/30/20 0:27,BL,ESK,33143,7439,9360,,367,34,10,10,1151,10177,36%,2093,13551,17499,53%
20200429,GU,,,,,,,,,,,,,,,,,,,,,
20200429,HI,,,4/26/20 18:00,4/29/20 22:19,AGS,AM,601,156,5,,162,,59,140,10,60,10%,,,,
20200429,IA,,,4/28/20 12:00,4/29/20 23:08,AGS,AM,6843,3838,910,,561,,,,109,1423,21%,1532,3968,1341,20%
20200429,ID,,,4/29/20 0:00,4/29/20 23:08,AGS,AM,0,,,,,,,,,,,,,,
20200429,IL,,,4/29/20 0:00,4/29/20 23:29,AGS,AM,50355,11676,10850,10846,1718,70,62,,2031,13102,26%,10846,26407,13102,26%
20200429,IN,,,4/25/20 23:59,4/30/20 0:12,AGS,PR,17182,8127,2680,1580,274,,,,2577,4521,23%,1580,6597,,0%
20200429,KS,,,4/26/20 11:00,4/30/20 0:04,AGS,ESK,3738,2325,433,,114,14,,,101,751,20%,1318,1731,689,18%
20200429,KY,,,4/29/20 0:00,4/30/20 0:15,SPA,BL,4539,2661,487,,3,0,0,2,,1386,31%,313,3071,1155,25%
