Date Updated,StateAbbr,Update Time,Source,Update Time (Et),Last Check,Checker,DC,Daily Count,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown Race,% Unk. Race,Known Hispanic,Known Non-Hispanic,Unknown Ethnicity,% Unk. Eth
20200429,AK,,,4/29/20 14:00,4/29/20 22:45,SPA,AM,0,,,,,,,,,,,,,,
20200429,AL,,,4/29/20 0:00,4/29/20 23:04,SPA,AM,262,131,115,,2,,,,2,11,4%,7,229,25,9.58%
20200429,AR,,,4/29/20 11:00,4/29/20 23:27,SPA,AM,59,36,20,,,,1,,1,1,2%,,,,
20200429,AS,,,,,,,,,,,,,,,,,,,,,
20200429,AZ,,,4/29/20 0:00,4/29/20 23:32,SPA,AM,304,148,10,39,4,56,,,4,43,14%,39,222,43,14.14%
20200429,CA,,,4/28/20 0:00,4/29/20 23:29,BL,AM,1809,613,186,589,292,7,17,5,33,67,4%,589,1153,67,3.70%
20200429,CO,,,4/29/20 0:00,4/29/20 23:21,BL,AM,766,537,51,,28,1,5,8,3,3,0%,130,633,3,0.39%
20200429,CT,,,4/29/20 12:00,4/29/20 23:07,BL,AM,2168,1554,328,189,19,,,,20,58,3%,189,1921,58,2.68%
20200429,DC,,,4/28/20 0:00,4/29/20 22:59,BL,AM,205,22,163,14,4,,,,2,0,0%,14,191,0,0.00%
20200429,DE,,,4/28/20 0:00,4/29/20 22:49,BL,AFG,144,81,36,5,1,,,3,,18,13%,5,121,18,12.50%
20200429,FL,,,4/29/20 9:51,4/30/20 0:08,BL,ESK,,,,,,,,,,,,,,,
20200429,GA,,,4/29/20 21:25,4/30/20 0:27,BL,ESK,1100,465,565,,20,1,0,0,15,34,3%,36,1010,54,4.91%
20200429,GU,,,,,,,,,,,,,,,,,,,,,
20200429,HI,,,4/26/20 18:00,4/29/20 22:19,AGS,AM,,,,,,,,,,,,,,,
20200429,IA,,,4/28/20 12:00,4/29/20 23:08,AGS,AM,,,,,,,,,,,,,,,
20200429,ID,,,4/29/20 0:00,4/29/20 23:08,AGS,AM,60,57,1,,,,2,,,0,0%,4,56,0,0.00%
20200429,IL,,,4/29/20 0:00,4/29/20 23:29,AGS,AM,2215,912,796,297,91,2,2,,24,24,1%,297,1827,91,4.11%
