STATE.,Percent,Race,Condition,Overall,State.Name
AL,78.35641962,White,Senior,65.70978975,ALABAMA
AL,18.6296077,Black,Senior,26.47023031,ALABAMA
AL,1.024627049,Hispanic,Senior,4.177458743,ALABAMA
AL,0.169832243,Asian,Senior,0.315786444,ALABAMA
AL,0.399710351,American Indian or Alaska Native,Senior,0.469856188,ALABAMA
AL,0.57874871,Native Hawaian or Pacific Islander,Senior,1.032606461,ALABAMA
AL,69.06435205,White,Asthma,65.70978975,ALABAMA
AL,24.42142133,Black,Asthma,26.47023031,ALABAMA
AL,1.873126325,Hispanic,Asthma,4.177458743,ALABAMA
AL,0.404725642,Asian,Asthma,0.315786444,ALABAMA
AL,NA,Native Hawaian or Pacific Islander,Asthma,1.032606461,ALABAMA
AL,2.497129348,American Indian or Alaska Native,Asthma,0.469856188,ALABAMA
AL,71.75563175,White,COPD,65.70978975,ALABAMA
AL,21.99669744,Black,COPD,26.47023031,ALABAMA
AL,1.714847213,Hispanic,COPD,4.177458743,ALABAMA
AL,0.136236963,Asian,COPD,0.315786444,ALABAMA
AL,NA,Native Hawaian or Pacific Islander,COPD,1.032606461,ALABAMA
AL,2.536135931,American Indian or Alaska Native,COPD,0.469856188,ALABAMA
AL,65.12812051,White,Diabetes,65.70978975,ALABAMA
AL,30.84860602,Black,Diabetes,26.47023031,ALABAMA
AL,0.718720846,Hispanic,Diabetes,4.177458743,ALABAMA
AL,0.399360635,Asian,Diabetes,0.315786444,ALABAMA
AL,NA,Native Hawaian or Pacific Islander,Diabetes,1.032606461,ALABAMA
AL,1.779272825,American Indian or Alaska Native,Diabetes,0.469856188,ALABAMA
AL,65.78903438,White,Kidney Disease,65.70978975,ALABAMA
AL,24.87285266,Black,Kidney Disease,26.47023031,ALABAMA
AL,4.442235657,Hispanic,Kidney Disease,4.177458743,ALABAMA
AL,NA,Asian,Kidney Disease,0.315786444,ALABAMA
AL,3.675482192,American Indian or Alaska Native,Kidney Disease,0.469856188,ALABAMA
AL,NA,Native Hawaian or Pacific Islander,Kidney Disease,1.032606461,ALABAMA
AL,64.42768096,White,Obesity,65.70978975,ALABAMA
AL,30.37855986,Black,Obesity,26.47023031,ALABAMA
AL,2.684288677,Hispanic,Obesity,4.177458743,ALABAMA
AL,0.278606892,Asian,Obesity,0.315786444,ALABAMA
AL,0.863511572,American Indian or Alaska Native,Obesity,0.469856188,ALABAMA
AL,0.010147067,Native Hawaian or Pacific Islander,Obesity,1.032606461,ALABAMA
AL,68.52162202,White,Smoking,65.70978975,ALABAMA
AL,24.37182814,Black,Smoking,26.47023031,ALABAMA
AL,1.719869222,Hispanic,Smoking,4.177458743,ALABAMA
AL,0.497594154,Asian,Smoking,0.315786444,ALABAMA
AL,0.093509334,Native Hawaian or Pacific Islander,Smoking,1.032606461,ALABAMA
AL,3.055638146,American Indian or Alaska Native,Smoking,0.469856188,ALABAMA
AK,75.91432005,White,Senior,61.12392961,ALASKA
AK,2.150583791,Black,Senior,3.092146954,ALASKA
AK,2.85885989,Hispanic,Senior,6.919822996,ALASKA
AK,0.659626832,Asian,Senior,0.430593244,ALASKA
AK,11.40539148,American Indian or Alaska Native,Senior,14.03070482,ALASKA
AK,4.31404533,Native Hawaian or Pacific Islander,Senior,6.766813448,ALASKA
AK,58.21156158,White,Asthma,61.12392961,ALASKA
AK,4.712785279,Black,Asthma,3.092146954,ALASKA
AK,7.966060426,Hispanic,Asthma,6.919822996,ALASKA
AK,2.215166678,Asian,Asthma,0.430593244,ALASKA
AK,1.073061943,Native Hawaian or Pacific Islander,Asthma,6.766813448,ALASKA
AK,19.26147383,American Indian or Alaska Native,Asthma,14.03070482,ALASKA
AK,65.3106805,White,COPD,61.12392961,ALASKA
AK,3.885129078,Black,COPD,3.092146954,ALASKA
AK,3.064177177,Hispanic,COPD,6.919822996,ALASKA
AK,1.896345811,Asian,COPD,0.430593244,ALASKA
AK,0.240117106,Native Hawaian or Pacific Islander,COPD,6.766813448,ALASKA
AK,22.0403163,American Indian or Alaska Native,COPD,14.03070482,ALASKA
AK,66.02263936,White,Diabetes,61.12392961,ALASKA
AK,7.802903502,Black,Diabetes,3.092146954,ALASKA
AK,5.418410424,Hispanic,Diabetes,6.919822996,ALASKA
AK,4.015124038,Asian,Diabetes,0.430593244,ALASKA
AK,0.812012975,Native Hawaian or Pacific Islander,Diabetes,6.766813448,ALASKA
AK,12.63730962,American Indian or Alaska Native,Diabetes,14.03070482,ALASKA
AK,53.92140155,White,Kidney Disease,61.12392961,ALASKA
AK,NA,Black,Kidney Disease,3.092146954,ALASKA
AK,13.24239241,Hispanic,Kidney Disease,6.919822996,ALASKA
AK,10.7644773,Asian,Kidney Disease,0.430593244,ALASKA
AK,13.27659546,American Indian or Alaska Native,Kidney Disease,14.03070482,ALASKA
AK,NA,Native Hawaian or Pacific Islander,Kidney Disease,6.766813448,ALASKA
AK,63.95007787,White,Obesity,61.12392961,ALASKA
AK,4.415150473,Black,Obesity,3.092146954,ALASKA
AK,5.386778494,Hispanic,Obesity,6.919822996,ALASKA
AK,5.197923128,Asian,Obesity,0.430593244,ALASKA
AK,13.30884875,American Indian or Alaska Native,Obesity,14.03070482,ALASKA
AK,2.134714364,Native Hawaian or Pacific Islander,Obesity,6.766813448,ALASKA
AK,49.2190958,White,Smoking,61.12392961,ALASKA
AK,4.55352488,Black,Smoking,3.092146954,ALASKA
AK,4.941663473,Hispanic,Smoking,6.919822996,ALASKA
AK,5.211475607,Asian,Smoking,0.430593244,ALASKA
AK,2.801365761,Native Hawaian or Pacific Islander,Smoking,6.766813448,ALASKA
AK,27.13670414,American Indian or Alaska Native,Smoking,14.03070482,ALASKA
AZ,80.84157134,White,Senior,55.0784295,ARIZONA
AZ,2.185712708,Black,Senior,4.137901747,ARIZONA
AZ,12.12135277,Hispanic,Senior,31.15598303,ARIZONA
AZ,0.660587455,Asian,Senior,0.753942348,ARIZONA
AZ,2.020101687,American Indian or Alaska Native,Senior,3.903977221,ARIZONA
AZ,1.401938132,Native Hawaian or Pacific Islander,Senior,2.601686992,ARIZONA
AZ,62.34542393,White,Asthma,55.0784295,ARIZONA
AZ,5.265947772,Black,Asthma,4.137901747,ARIZONA
AZ,22.83672177,Hispanic,Asthma,31.15598303,ARIZONA
AZ,2.229932422,Asian,Asthma,0.753942348,ARIZONA
AZ,0.082408029,Native Hawaian or Pacific Islander,Asthma,2.601686992,ARIZONA
AZ,4.67228695,American Indian or Alaska Native,Asthma,3.903977221,ARIZONA
AZ,77.76903006,White,COPD,55.0784295,ARIZONA
AZ,4.329066043,Black,COPD,4.137901747,ARIZONA
AZ,12.46525561,Hispanic,COPD,31.15598303,ARIZONA
AZ,1.072493916,Asian,COPD,0.753942348,ARIZONA
AZ,0.066904666,Native Hawaian or Pacific Islander,COPD,2.601686992,ARIZONA
AZ,2.425344049,American Indian or Alaska Native,COPD,3.903977221,ARIZONA
AZ,52.65900681,White,Diabetes,55.0784295,ARIZONA
AZ,4.884594988,Black,Diabetes,4.137901747,ARIZONA
AZ,31.50515841,Hispanic,Diabetes,31.15598303,ARIZONA
AZ,0.94434784,Asian,Diabetes,0.753942348,ARIZONA
AZ,0.023489601,Native Hawaian or Pacific Islander,Diabetes,2.601686992,ARIZONA
AZ,7.883230605,American Indian or Alaska Native,Diabetes,3.903977221,ARIZONA
AZ,67.51667816,White,Kidney Disease,55.0784295,ARIZONA
AZ,4.749725612,Black,Kidney Disease,4.137901747,ARIZONA
AZ,21.45746846,Hispanic,Kidney Disease,31.15598303,ARIZONA
AZ,NA,Asian,Kidney Disease,0.753942348,ARIZONA
AZ,3.216750261,American Indian or Alaska Native,Kidney Disease,3.903977221,ARIZONA
AZ,NA,Native Hawaian or Pacific Islander,Kidney Disease,2.601686992,ARIZONA
AZ,56.92730796,White,Obesity,55.0784295,ARIZONA
AZ,4.499051674,Black,Obesity,4.137901747,ARIZONA
AZ,30.24893827,Hispanic,Obesity,31.15598303,ARIZONA
AZ,0.92338058,Asian,Obesity,0.753942348,ARIZONA
AZ,5.794664929,American Indian or Alaska Native,Obesity,3.903977221,ARIZONA
AZ,0.03661462,Native Hawaian or Pacific Islander,Obesity,2.601686992,ARIZONA
AZ,61.17564683,White,Smoking,55.0784295,ARIZONA
AZ,3.752189963,Black,Smoking,4.137901747,ARIZONA
AZ,25.87951808,Hispanic,Smoking,31.15598303,ARIZONA
AZ,3.561784103,Asian,Smoking,0.753942348,ARIZONA
AZ,0.308692421,Native Hawaian or Pacific Islander,Smoking,2.601686992,ARIZONA
AZ,3.937720706,American Indian or Alaska Native,Smoking,3.903977221,ARIZONA
AR,86.75658306,White,Senior,72.66075071,ARKANSAS
AR,9.557610465,Black,Senior,15.36377622,ARKANSAS
AR,1.518139716,Hispanic,Senior,7.323807935,ARKANSAS
AR,0.134719992,Asian,Senior,0.299397694,ARKANSAS
AR,0.348063455,American Indian or Alaska Native,Senior,0.578064254,ARKANSAS
AR,0.520990921,Native Hawaian or Pacific Islander,Senior,1.415434864,ARKANSAS
AR,71.24370708,White,Asthma,72.66075071,ARKANSAS
AR,16.6594038,Black,Asthma,15.36377622,ARKANSAS
AR,6.370353469,Hispanic,Asthma,7.323807935,ARKANSAS
AR,NA,Asian,Asthma,0.299397694,ARKANSAS
AR,NA,Native Hawaian or Pacific Islander,Asthma,1.415434864,ARKANSAS
AR,2.34446101,American Indian or Alaska Native,Asthma,0.578064254,ARKANSAS
AR,83.1035501,White,COPD,72.66075071,ARKANSAS
AR,9.592434163,Black,COPD,15.36377622,ARKANSAS
AR,3.042889943,Hispanic,COPD,7.323807935,ARKANSAS
AR,NA,Asian,COPD,0.299397694,ARKANSAS
AR,NA,Native Hawaian or Pacific Islander,COPD,1.415434864,ARKANSAS
AR,2.265074871,American Indian or Alaska Native,COPD,0.578064254,ARKANSAS
AR,74.97825126,White,Diabetes,72.66075071,ARKANSAS
AR,17.49154283,Black,Diabetes,15.36377622,ARKANSAS
AR,3.317614746,Hispanic,Diabetes,7.323807935,ARKANSAS
AR,0.29187475,Asian,Diabetes,0.299397694,ARKANSAS
AR,NA,Native Hawaian or Pacific Islander,Diabetes,1.415434864,ARKANSAS
AR,1.966536381,American Indian or Alaska Native,Diabetes,0.578064254,ARKANSAS
AR,74.82961266,White,Kidney Disease,72.66075071,ARKANSAS
